fNo.       mw1            mw2        best1.x[0]     best1.theta     best2.x[0]   best2.theta   t/frame
303     0.022380549     0.025994089     332.155     32.389    232.674     148.670    0.010000
304     0.026902149     0.028304566     334.827     35.680    236.547     149.412    0.010000
305     0.046218719     0.029095465     332.278     32.339    229.153     148.477    0.010000
306     0.027022993     0.025077196     333.371     35.210    232.584     148.271    0.010000
307     0.025931256     0.031377204     333.592     34.818    233.026     149.123    0.010000
308     0.032761641     0.026962178     331.676     32.722    236.066     149.917    0.010000
309     0.049240936     0.029895026     337.623     34.900    238.643     149.436    0.020000
310     0.039530780     0.027823413     337.315     36.076    229.422     148.658    0.000000
311     0.034129784     0.024569739     337.146     35.766    225.708     146.560    0.020000
312     0.023454197     0.025001431     330.227     32.397    230.528     146.943    0.000000
313     0.024671467     0.024983626     338.530     36.160    229.592     148.079    0.010000
314     0.024748394     0.028817654     330.061     31.620    237.353     147.333    0.010000
315     0.030663000     0.028432103     333.006     33.847    243.656     149.610    0.010000
316     0.042840954     0.027325371     335.915     35.123    230.607     145.124    0.010000
317     0.021103397     0.026679583     330.135     32.015    231.201     148.350    0.010000
318     0.034305256     0.026873896     331.086     35.362    237.911     146.824    0.010000
319     0.026952766     0.027654171     330.836     33.813    239.610     149.115    0.000000
320     0.034873344     0.024535749     330.701     33.648    246.402     149.999    0.020000
321     0.043672301     0.028172964     336.416     33.892    248.320     148.850    0.010000
322     0.036252141     0.020109637     335.668     34.039    247.791     149.571    0.010000
323     0.043647263     0.028536621     330.591     33.266    248.130     149.964    0.010000
324     0.039620902     0.027077289     327.739     32.493    234.467     147.811    0.010000
325     0.026502267     0.024409726     328.886     35.603    240.194     147.792    0.000000
326     0.023381611     0.028237985     329.602     34.023    245.261     148.517    0.020000
327     0.036433902     0.027208926     329.966     33.369    242.804     149.481    0.000000
328     0.032659203     0.027031140     330.721     35.385    234.671     145.521    0.020000
329     0.021688126     0.026038196     332.749     37.431    246.574     147.908    0.000000
330     0.027364491     0.032642499     329.767     33.865    248.024     149.313    0.010000
331     0.040433031     0.020143099     335.212     36.351    244.556     149.402    0.020000
332     0.042782918     0.022916013     339.456     35.709    246.783     148.918    0.000000
333     0.032809597     0.024659960     336.787     34.867    240.771     148.650    0.020000
334     0.028079433     0.026057685     338.527     36.135    240.575     148.165    0.010000
335     0.031786785     0.026189109     337.860     34.791    238.594     149.575    0.010000
336     0.035810493     0.026975838     331.881     33.789    238.604     149.334    0.000000
337     0.040085528     0.024973765     337.689     36.609    236.986     148.126    0.010000
338     0.028154442     0.030614035     333.302     36.716    238.494     149.337    0.010000
339     0.040205773     0.022899490     337.460     37.256    229.731     146.974    0.020000
340     0.029669913     0.023675330     331.482     33.439    238.285     149.335    0.000000
341     0.041372817     0.027218239     335.929     35.217    235.121     149.544    0.010000
342     0.038794894     0.030177511     332.820     35.424    234.092     148.776    0.010000
343     0.026399346     0.024888275     338.540     35.575    233.996     148.999    0.010000
344     0.035407312     0.022391295     331.548     32.944    230.878     149.845    0.020000
345     0.043737203     0.023224860     333.345     32.850    219.372     145.803    0.000000
346     0.019946562     0.027090803     334.887     35.411    230.061     147.618    0.010000
347     0.026430892     0.025317485     333.921     32.727    235.437     149.094    0.010000
348     0.037747443     0.032126389     340.355     33.721    241.343     149.649    0.010000
349     0.035507072     0.027894368     342.182     37.421    229.296     148.986    0.010000
350     0.030823883     0.033085171     327.554     33.724    228.165     147.298    0.010000
351     0.026367174     0.029465523     332.915     33.023    232.616     149.201    0.010000
352     0.031705774     0.025683930     336.195     34.601    237.714     149.331    0.010000
353     0.030728485     0.025575448     340.947     38.338    232.276     149.537    0.010000
354     0.040253978     0.030994648     330.393     32.986    234.060     149.430    0.020000
355     0.032798931     0.023867931     332.121     35.533    237.611     148.948    0.000000
356     0.042714544     0.024036612     331.092     35.515    238.316     149.033    0.010000
357     0.034249317     0.021260684     331.231     36.008    237.824     149.777    0.010000
358     0.038847052     0.020384077     335.434     33.744    237.236     149.661    0.010000
359     0.035053458     0.021161377     329.376     33.184    239.827     148.532    0.010000
360     0.032629173     0.023430103     328.540     35.675    236.087     147.549    0.010000
361     0.032242786     0.034519937     327.211     32.024    238.254     148.163    0.010000
362     0.027982403     0.030586159     330.883     36.753    240.347     147.522    0.010000
363     0.026963865     0.029474918     328.331     33.871    232.630     148.217    0.010000
364     0.028589897     0.028148510     326.936     35.387    234.728     147.323    0.010000
365     0.021078901     0.027157540     333.936     37.540    244.038     149.409    0.010000
366     0.046306215     0.024264315     335.305     38.698    242.954     149.552    0.010000
367     0.035612591     0.024168527     328.159     35.434    238.415     148.114    0.010000
368     0.032124151     0.024031132     336.281     34.328    242.893     149.834    0.010000
369     0.044403285     0.022917323     336.755     34.790    242.301     149.561    0.010000
370     0.028234689     0.025766585     328.053     35.549    244.506     149.698    0.010000
371     0.037002519     0.024304932     328.582     35.571    242.561     148.310    0.010000
372     0.030249899     0.022152159     334.375     34.149    243.304     149.151    0.000000
373     0.036639951     0.025327070     335.267     37.700    240.497     148.874    0.020000
374     0.036921721     0.026236268     327.617     36.610    241.819     148.669    0.010000
375     0.029217377     0.022640759     327.714     37.301    243.962     149.629    0.010000
376     0.035099693     0.023350585     324.233     35.977    236.279     148.730    0.010000
377     0.026541015     0.025761772     331.807     34.818    241.190     149.574    0.010000
378     0.038953841     0.023301547     336.518     40.237    242.066     149.510    0.010000
379     0.036880497     0.043623265     326.232     36.147    245.694     148.983    0.010000
380     0.040803894     0.019631580     326.874     36.581    240.095     147.868    0.000000
381     0.023831703     0.025916688     334.828     35.664    241.443     149.253    0.020000
382     0.030079762     0.019937176     330.656     37.901    239.650     148.826    0.010000
383     0.041675933     0.031394158     328.390     37.001    243.030     147.708    0.000000
384     0.030238595     0.022560934     336.509     39.356    243.958     149.004    0.020000
385     0.033212028     0.025666906     329.487     37.025    241.569     149.943    0.010000
386     0.044715028     0.027233081     336.432     39.470    238.158     148.645    0.000000
387     0.033544745     0.033130936     329.227     35.199    240.746     149.656    0.020000
388     0.040570121     0.020202657     334.627     39.047    244.272     149.406    0.000000
389     0.034302890     0.033773370     337.343     36.979    246.547     149.951    0.010000
390     0.048694458     0.020873614     331.380     39.253    236.630     149.877    0.010000
391     0.056074277     0.031085910     336.117     36.272    239.814     149.278    0.010000
392     0.034313120     0.023215389     330.917     34.478    244.472     149.684    0.010000
