fNo.       mw1            mw2        best1.x[0]     best1.theta     best2.x[0]   best2.theta   t/frame
277     0.002380169     0.002818395     307.182     30.454    233.230     144.077    0.140000
278     0.001985718     0.002623929     306.476     30.247    238.537     148.958    0.140000
279     0.002836858     0.002569285     306.483     30.124    233.280     147.255    0.130000
280     0.001622314     0.002599804     305.578     30.254    233.354     149.864    0.140000
281     0.002661481     0.002586367     304.641     30.013    232.985     148.702    0.130000
282     0.002069650     0.002635364     304.622     30.122    238.393     149.971    0.140000
283     0.002690611     0.002608019     304.766     30.073    230.780     149.897    0.130000
284     0.002777456     0.002710765     304.642     30.232    236.676     149.892    0.140000
285     0.002465798     0.002613813     304.783     30.228    234.465     149.732    0.140000
286     0.002728990     0.002771356     304.544     30.426    234.482     149.540    0.140000
287     0.002388638     0.002503606     304.635     30.532    235.026     149.973    0.130000
288     0.002749370     0.002453627     303.726     30.106    232.603     149.917    0.140000
289     0.002720159     0.002689390     306.897     30.859    229.174     149.838    0.130000
290     0.002476532     0.002148368     305.961     30.877    230.814     149.841    0.130000
291     0.002624558     0.002262278     303.024     30.295    228.288     149.883    0.130000
292     0.002772981     0.002387549     305.854     30.993    228.968     149.457    0.140000
293     0.002206500     0.002160629     303.557     30.575    229.596     149.899    0.140000
294     0.002575351     0.002347019     304.805     30.936    228.441     149.570    0.130000
295     0.002439194     0.002143157     304.745     31.160    226.215     149.818    0.140000
296     0.002623838     0.002216352     304.390     31.285    251.173     149.735    0.140000
297     0.002558179     0.002018900     305.653     31.373    217.763     149.417    0.130000
298     0.002157644     0.002072852     306.497     31.759    248.218     149.916    0.140000
299     0.002652063     0.001791883     305.152     31.438    240.792     148.964    0.140000
300     0.002091492     0.002223268     304.879     31.310    214.777     149.995    0.130000
301     0.002795520     0.002180708     307.946     32.266    232.053     149.386    0.130000
302     0.002312169     0.001714172     308.219     32.451    245.581     149.980    0.140000
303     0.002604055     0.001738286     306.344     31.914    230.624     149.646    0.140000
304     0.002456687     0.001892001     305.004     31.905    235.057     149.566    0.140000
305     0.002467296     0.001867367     305.246     31.909    235.347     149.449    0.130000
306     0.002294465     0.001831267     306.267     32.282    233.977     149.661    0.130000
307     0.002569457     0.001687455     309.331     32.835    231.861     149.807    0.140000
308     0.002543519     0.001764292     306.250     32.210    240.022     149.988    0.140000
309     0.002672218     0.001810613     308.807     32.995    233.381     149.477    0.140000
310     0.002482099     0.001629021     303.986     31.910    234.615     149.778    0.130000
311     0.002621186     0.001942293     307.289     32.769    237.973     149.632    0.140000
312     0.002450965     0.001668780     304.756     32.118    228.296     149.831    0.130000
313     0.002686663     0.001822051     307.035     32.648    228.015     149.522    0.130000
314     0.002133842     0.001728178     306.023     32.398    224.380     149.400    0.130000
315     0.002235530     0.001790635     306.464     32.114    228.109     149.863    0.150000
316     0.002559052     0.001815593     308.692     32.513    229.465     149.900    0.130000
